iter	Passed	Remaining
191	2341	9852
192	2353	9841
193	2368	9838
194	2382	9834
195	2395	9826
196	2407	9813
197	2418	9795
198	2429	9780
199	2440	9761
200	2451	9746
201	2465	9741
202	2478	9728
203	2489	9714
204	2503	9709
205	2517	9703
206	2529	9691
207	2543	9685
208	2555	9670
209	2569	9665
210	2579	9644
211	2590	9629
212	2601	9612
213	2612	9594
214	2623	9578
215	2633	9558
216	2643	9539
217	2654	9522
218	2667	9511
219	2677	9491
220	2688	9474
221	2698	9456
222	2709	9439
223	2720	9425
224	2731	9409
225	2741	9388
226	2750	9367
227	2760	9348
228	2772	9335
229	2784	9320
230	2795	9307
231	2806	9289
232	2816	9270
233	2826	9252
234	2836	9235
235	2847	9218
236	2858	9203
237	2868	9185
238	2878	9165
239	2888	9147
240	2898	9128
241	2909	9113
242	2920	9097
243	2930	9079
244	2941	9064
245	2951	9046
246	2962	9030
247	2972	9014
248	2982	8996
249	2992	8977
250	3001	8957
251	3012	8941
252	3023	8927
253	3033	8910
254	3043	8891
255	3053	8874
256	3063	8856
257	3073	8838
258	3083	8821
259	3092	8802
260	3103	8786
261	3114	8773
262	3125	8757
263	3135	8742
264	3146	8726
265	3156	8710
266	3167	8696
267	3177	8679
268	3188	8664
269	3199	8650
270	3209	8633
271	3219	8618
272	3229	8601
273	3239	8583
274	3250	8569
275	3259	8551
276	3272	8540
277	3284	8531
278	3295	8516
279	3306	8501
280	3316	8486
281	3326	8470
282	3336	8454
283	3347	8440
284	3359	8427
285	3371	8415
286	3381	8400
287	3391	8383
288	3401	8368
289	3412	8353
290	3421	8336
291	3431	8321
292	3442	8305
293	3452	8290
294	3464	8278
295	3474	8264
296	3484	8247
297	3495	8235
298	3505	8218
299	3516	8205
300	3526	8190
301	3537	8174
302	3547	8159
303	3557	8144
304	3568	8131
305	3578	8115
306	3588	8099
307	3599	8086
308	3609	8071
309	3620	8059
310	3632	8047
311	3644	8035
312	3653	8019
313	3663	8004
314	3673	7989
315	3683	7974
316	3695	7962
317	3706	7948
318	3717	7936
319	3728	7922
320	3738	7908
321	3748	7893
322	3759	7879
323	3768	7863
324	3779	7850
325	3790	7836
326	3800	7821
327	3810	7807
328	3821	7793
329	3830	7777
330	3840	7762
331	3849	7745
332	3860	7731
333	3869	7716
334	3879	7701
335	3889	7687
336	3901	7674
337	3910	7659
338	3920	7644
339	3930	7630
340	3940	7615
341	3950	7600
342	3960	7585
343	3970	7572
344	3980	7558
345	3991	7544
346	4001	7530
347	4011	7516
348	4022	7503
349	4032	7488
350	4041	7473
351	4052	7460
352	4063	7447
353	4073	7433
354	4084	7420
355	4096	7409
356	4105	7395
357	4116	7382
358	4126	7367
359	4137	7355
360	4147	7342
361	4158	7328
362	4169	7316
363	4178	7301
364	4188	7287
365	4199	7273
366	4209	7260
367	4219	7247
368	4231	7235
369	4240	7220
370	4251	7208
371	4261	7194
372	4271	7179
373	4281	7167
374	4293	7155
375	4302	7140
376	4313	7127
377	4322	7112
378	4333	7099
379	4343	7087
380	4353	7073
381	4364	7060
382	4375	7048
383	4385	7034
384	4396	7023
385	4407	7010
386	4416	6996
387	4426	6981
388	4436	6968
389	4447	6955
390	4457	6942
391	4466	6927
392	4476	6914
393	4487	6901
394	4497	6888
395	4507	6875
396	4517	6861
397	4529	6850
398	4539	6837
399	4549	6824
400	4559	6811
401	4569	6798
402	4579	6783
403	4588	6769
404	4598	6755
405	4608	6742
406	4619	6730
407	4629	6717
408	4640	6705
409	4650	6691
410	4660	6679
411	4670	6665
412	4680	6651
413	4689	6638
414	4700	6625
415	4710	6612
416	4720	6599
417	4730	6587
418	4741	6574
419	4751	6561
420	4762	6550
421	4772	6537
422	4782	6523
423	4791	6509
424	4801	6496
425	4812	6484
426	4821	6470
427	4835	6462
428	4845	6449
429	4855	6436
430	4865	6423
431	4876	6411
432	4886	6398
433	4897	6386
434	4907	6373
435	4917	6361
436	4928	6348
437	4937	6334
438	4947	6322
439	4956	6308
440	4967	6296
441	4977	6284
442	4987	6270
443	4997	6257
444	5007	6244
445	5017	6232
446	5027	6219
447	5036	6206
448	5047	6193
449	5058	6182
450	5067	6168
451	5077	6155
452	5087	6143
453	5097	6130
454	5106	6116
455	5116	6103
456	5127	6092
457	5137	6079
458	5148	6068
459	5158	6055
460	5169	6043
461	5179	6031
462	5189	6018
463	5198	6005
464	5208	5992
465	5217	5979
466	5228	5966
467	5238	5954
468	5248	5942
469	5258	5929
470	5268	5917
471	5279	5906
472	5290	5894
473	5300	5881
474	5310	5869
475	5321	5858
476	5332	5846
477	5343	5835
478	5353	5822
479	5362	5809
480	5373	5797
481	5384	5786
482	5395	5775
483	5405	5762
484	5415	5750
485	5425	5738
486	5436	5726
487	5446	5714
488	5455	5701
489	5469	5692
490	5479	5680
491	5490	5668
492	5501	5658
493	5513	5647
494	5522	5634
495	5532	5621
496	5541	5608
497	5552	5597
498	5562	5584
499	5571	5571
500	5581	5559
501	5591	5546
502	5601	5534
503	5610	5521
504	5620	5509
505	5630	5496
506	5639	5484
507	5650	5472
508	5659	5459
509	5669	5447
510	5679	5434
511	5689	5422
512	5698	5409
513	5709	5398
514	5720	5387
515	5730	5374
516	5740	5363
517	5754	5355
518	5774	5351
519	5804	5357
520	5823	5354
521	5843	5351
522	5872	5356
523	5896	5356
524	5914	5351
525	5932	5346
526	5949	5340
527	5967	5334
528	5982	5326
529	6022	5341
530	6061	5353
531	6089	5356
532	6161	5398
533	6184	5397
534	6204	5392
535	6231	5394
536	6262	5399
537	6317	5424
538	6359	5439
539	6399	5451
540	6430	5455
541	6449	5450
542	6481	5454
543	6511	5458
544	6543	5463
545	6571	5464
546	6592	5459
547	6624	5464
548	6648	5461
549	6680	5465
550	6719	5475
551	6809	5526
552	6879	5560
553	6925	5575
554	6948	5571
555	6996	5586
556	7032	5592
557	7060	5592
558	7104	5604
559	7145	5614
560	7173	5613
561	7196	5608
562	7217	5602
563	7250	5604
564	7279	5604
565	7313	5608
566	7339	5604
567	7368	5603
568	7398	5604
569	7427	5603
570	7460	5605
571	7496	5609
572	7515	5600
573	7532	5590
574	7548	5579
575	7563	5567
576	7577	5555
577	7592	5543
578	7608	5532
579	7622	5519
580	7636	5507
581	7649	5494
582	7665	5482
583	7678	5469
584	7697	5460
585	7712	5448
586	7726	5435
587	7740	5423
588	7754	5410
589	7768	5398
590	7782	5385
591	7796	5373
592	7809	5359
593	7821	5346
594	7837	5334
595	7852	5322
596	7864	5308
597	7878	5296
598	7892	5283
599	7907	5271
600	7920	5258
601	7937	5247
602	7951	5234
603	7962	5220
604	7974	5206
605	7988	5193
606	8000	5180
607	8013	5166
608	8024	5152
609	8035	5137
610	8049	5124
611	8061	5110
612	8073	5096
613	8086	5083
614	8098	5070
615	8113	5057
616	8125	5043
617	8137	5030
618	8149	5015
619	8161	5002
620	8173	4988
621	8184	4974
622	8196	4960
623	8208	4946
624	8222	4933
625	8234	4919
626	8246	4905
627	8259	4892
628	8272	4879
629	8284	4865
630	8297	4852
631	8308	4837
632	8319	4823
633	8330	4809
634	8343	4795
635	8354	4781
636	8364	4766
637	8376	4752
638	8387	4738
639	8398	4724
640	8410	4710
641	8423	4697
642	8436	4684
643	8449	4670
644	8461	4657
645	8474	4643
646	8487	4630
647	8500	4617
648	8512	4603
649	8525	4590
650	8536	4576
651	8548	4562
652	8561	4549
653	8575	4536
654	8589	4524
655	8603	4511
656	8618	4499
657	8631	4486
658	8646	4474
659	8668	4465
660	8683	4453
661	8697	4440
662	8710	4427
663	8724	4414
664	8741	4403
665	8753	4390
666	8765	4376
667	8775	4361
668	8786	4347
669	8797	4333
670	8807	4318
671	8818	4304
672	8828	4289
673	8838	4274
674	8847	4260
675	8858	4245
676	8868	4231
677	8878	4216
678	8889	4202
679	8899	4188
680	8908	4172
681	8917	4158
682	8928	4144
683	8937	4129
684	8948	4114
685	8958	4100
686	8968	4086
687	8978	4071
688	8988	4057
689	8999	4043
690	9010	4029
691	9021	4015
692	9031	4001
693	9041	3986
694	9050	3971
695	9059	3957
696	9069	3942
697	9078	3927
698	9087	3913
699	9097	3898
700	9107	3884
701	9118	3870
702	9129	3856
703	9139	3842
704	9151	3829
705	9162	3815
706	9172	3801
707	9182	3787
708	9192	3772
709	9203	3759
710	9212	3744
711	9222	3730
712	9232	3716
713	9241	3701
714	9250	3687
715	9260	3673
716	9270	3659
717	9280	3644
718	9290	3630
719	9300	3616
720	9308	3602
721	9319	3588
722	9328	3574
723	9337	3559
724	9348	3545
725	9358	3532
726	9368	3517
727	9377	3503
728	9386	3489
729	9396	3475
730	9405	3461
731	9414	3446
732	9423	3432
733	9432	3418
734	9442	3404
735	9451	3390
736	9461	3376
737	9471	3362
738	9482	3348
739	9491	3334
740	9501	3320
741	9510	3306
742	9520	3293
743	9530	3279
744	9539	3265
745	9549	3251
746	9559	3237
747	9568	3223
748	9578	3209
749	9587	3195
750	9597	3182
751	9607	3168
752	9617	3154
753	9626	3140
754	9635	3126
755	9645	3113
756	9655	3099
757	9664	3085
758	9673	3071
759	9683	3057
760	9693	3044
761	9704	3030
762	9714	3017
763	9724	3003
764	9733	2990
765	9743	2976
766	9753	2962
767	9763	2949
768	9772	2935
769	9782	2921
770	9791	2908
771	9801	2894
772	9810	2880
773	9820	2867
774	9829	2853
775	9839	2840
776	9850	2827
777	9860	2813
778	9869	2800
779	9878	2786
780	9888	2772
781	9897	2759
782	9907	2745
783	9916	2732
784	9926	2718
785	9935	2705
786	9945	2691
787	9954	2678
788	9963	2664
789	9973	2651
790	9982	2637
791	9991	2624
792	10001	2610
793	10011	2597
794	10021	2584
795	10031	2570
796	10041	2557
797	10051	2544
798	10060	2530
799	10071	2517
800	10081	2504
801	10090	2491
802	10100	2477
803	10110	2464
804	10120	2451
805	10130	2438
806	10139	2424
807	10149	2411
808	10158	2398
809	10169	2385
810	10178	2372
811	10188	2358
812	10197	2345
813	10207	2332
814	10216	2319
815	10225	2305
816	10235	2292
817	10245	2279
818	10255	2266
819	10265	2253
820	10274	2240
821	10283	2226
822	10293	2213
823	10303	2200
824	10313	2187
825	10322	2174
826	10332	2161
827	10342	2148
828	10352	2135
829	10361	2122
830	10372	2109
831	10383	2096
832	10393	2083
833	10402	2070
834	10411	2057
835	10420	2044
836	10431	2031
837	10440	2018
838	10450	2005
839	10460	1992
840	10470	1979
841	10479	1966
842	10489	1953
843	10498	1940
844	10507	1927
845	10517	1914
846	10527	1901
847	10537	1888
848	10547	1875
849	10556	1862
850	10566	1850
851	10577	1837
852	10586	1824
853	10596	1811
854	10605	1798
855	10615	1785
856	10627	1773
857	10636	1760
858	10645	1747
859	10655	1734
860	10666	1721
861	10676	1709
862	10685	1696
863	10695	1683
864	10703	1670
865	10712	1657
866	10722	1644
867	10731	1632
868	10741	1619
869	10751	1606
870	10760	1593
871	10769	1580
872	10779	1568
873	10788	1555
874	10798	1542
875	10808	1529
876	10818	1517
877	10827	1504
878	10836	1491
879	10846	1479
880	10855	1466
881	10865	1453
882	10875	1441
883	10885	1428
884	10895	1415
885	10905	1403
886	10914	1390
887	10924	1377
888	10934	1365
889	10943	1352
890	10952	1339
891	10962	1327
892	10972	1314
893	10981	1302
894	10990	1289
895	10999	1276
896	11008	1264
897	11017	1251
898	11027	1238
899	11037	1226
900	11046	1213
901	11056	1201
902	11067	1188
903	11076	1176
904	11085	1163
905	11094	1151
906	11104	1138
907	11114	1126
908	11124	1113
909	11134	1101
910	11144	1088
911	11154	1076
912	11164	1063
913	11173	1051
914	11183	1038
915	11193	1026
916	11203	1014
917	11214	1001
918	11223	989
919	11233	976
920	11242	964
921	11251	951
922	11261	939
923	11271	927
924	11281	914
925	11290	902
926	11300	889
927	11311	877
928	11320	865
929	11330	852
930	11339	840
931	11349	828
932	11359	815
933	11368	803
934	11378	790
935	11388	778
936	11398	766
937	11407	754
938	11417	741
939	11427	729
940	11436	717
941	11446	704
942	11456	692
943	11465	680
944	11475	667
945	11484	655
946	11493	643
947	11504	631
948	11513	618
949	11524	606
950	11533	594
951	11542	581
952	11552	569
953	11561	557
954	11570	545
955	11580	533
956	11590	520
957	11599	508
958	11609	496
959	11618	484
960	11628	471
961	11637	459
962	11646	447
963	11656	435
964	11666	423
965	11676	410
966	11686	398
967	11696	386
968	11707	374
969	11716	362
970	11726	350
971	11736	338
972	11745	325
973	11754	313
974	11764	301
975	11774	289
976	11784	277
977	11793	265
978	11802	253
979	11811	241
980	11820	228
981	11830	216
982	11840	204
983	11851	192
984	11862	180
985	11872	168
986	11882	156
987	11891	144
988	11901	132
989	11911	120
990	11920	108
991	11930	96
992	11941	84
993	11951	72
994	11960	60
995	11971	48
996	11982	36
997	11992	24
998	12002	12
999	12012	0
