iter	RMSE
153	0.2928638379
154	0.2927128209
155	0.2925289622
156	0.2923904684
157	0.2921607436
158	0.2919173899
159	0.2917268995
160	0.2915714748
161	0.2913952282
162	0.2912046213
163	0.2910838139
164	0.2909340932
165	0.290795879
166	0.2906272303
167	0.2905114955
168	0.2903823564
169	0.2902034878
170	0.2900346076
171	0.2898656519
172	0.2896865607
173	0.2895550613
174	0.2893954252
175	0.2892742152
176	0.2891324603
177	0.2889630793
178	0.2888432132
179	0.2886924478
180	0.2885484522
181	0.2884343074
182	0.288312556
183	0.2882083113
184	0.2880528883
185	0.2879268973
186	0.2877526084
187	0.2875438343
188	0.2874419364
189	0.2873052734
190	0.28718278
191	0.2870463632
192	0.2868979947
193	0.2867957808
194	0.2866784545
195	0.2865814736
196	0.2864838737
197	0.2863738895
198	0.2862210134
199	0.286112533
200	0.285987429
201	0.2858798345
202	0.2858098866
203	0.2857051799
204	0.2856304167
205	0.2855336222
206	0.2854817987
207	0.2853022649
208	0.2851603806
209	0.2850282981
210	0.2848785974
211	0.2847046374
212	0.2846189284
213	0.2845392778
214	0.2843776303
215	0.2843137623
216	0.284187783
217	0.2841034557
218	0.2839375388
219	0.283890221
220	0.2837880466
221	0.2836614081
222	0.2835219975
223	0.2834113952
224	0.2833029524
225	0.2832619311
226	0.2831791513
227	0.2830939911
228	0.2830157183
229	0.2828802358
230	0.2827546619
231	0.2826359472
232	0.2825375355
233	0.2824533062
234	0.282308999
235	0.2821916692
236	0.2820803672
237	0.2819765185
238	0.2819378581
239	0.2818646126
240	0.2818148768
241	0.2817093275
242	0.2816304396
243	0.2815617145
244	0.281503726
245	0.2813245151
246	0.281257542
247	0.281147178
248	0.2810405342
249	0.2809376152
250	0.280907237
251	0.2808400972
252	0.2807269744
253	0.28061658
254	0.2805486781
255	0.2804004296
256	0.2802889947
257	0.2802174535
258	0.2801244313
259	0.2800951876
260	0.2800119538
261	0.2799217484
262	0.2798509223
263	0.279774228
264	0.2797052165
265	0.279599088
266	0.2795019825
267	0.2794099913
268	0.2793464225
269	0.2792459827
270	0.2791653678
271	0.2790603354
272	0.2789607962
273	0.278889816
274	0.278817211
275	0.2787909776
276	0.2786998943
277	0.2786396074
278	0.2785661118
279	0.2785422491
280	0.2784224575
281	0.2783469963
282	0.2782604702
283	0.2781871738
284	0.2781247742
285	0.2779990592
286	0.2779408465
287	0.2778689428
288	0.27776914
289	0.2776821147
290	0.2776101001
291	0.2775554894
292	0.277448438
293	0.2773816453
294	0.2772693488
295	0.277157936
296	0.2771356921
297	0.2770483379
298	0.2769889233
299	0.2768765262
300	0.2767625107
301	0.2767002945
302	0.2766485015
303	0.276550246
304	0.2764429338
305	0.2764122782
306	0.2763326674
307	0.2762573555
308	0.2761925149
309	0.2761096864
310	0.2760316516
311	0.2759747158
312	0.2759161397
313	0.2758660907
314	0.2758206549
315	0.2756801858
316	0.2755813323
317	0.2755597551
318	0.2754427224
319	0.2753564465
320	0.275285742
321	0.2751968833
322	0.2751470353
323	0.2750898003
324	0.2750210975
325	0.2749780352
326	0.2748947016
327	0.274804326
328	0.2747033272
329	0.2746659954
330	0.2746201026
331	0.2745940651
332	0.2745235805
333	0.2744792615
334	0.2744155439
335	0.2743444145
336	0.2742443717
337	0.2741820657
338	0.2741235607
339	0.2740087586
340	0.2739590643
341	0.2738911319
342	0.2738058767
343	0.2737559622
344	0.273697305
345	0.2736153963
346	0.2735438946
347	0.273475342
348	0.2733780551
349	0.2733514957
350	0.2732848433
351	0.2732261017
352	0.2731426112
353	0.2730767792
354	0.273011159
355	0.2729517733
356	0.2728818771
357	0.2728350227
358	0.2727331335
359	0.2726584505
360	0.272542459
361	0.2724491377
362	0.2723567053
363	0.272293028
364	0.272264453
365	0.2722093562
366	0.2721601718
367	0.2720827107
368	0.2720126505
369	0.2719740858
370	0.2718917805
371	0.2718332095
372	0.2717950135
373	0.2717450769
374	0.2716782795
375	0.2716261217
376	0.2715801777
377	0.2715448338
378	0.2714712522
379	0.2713890006
380	0.2713284783
381	0.2712838327
382	0.2712277908
383	0.2711665063
384	0.2711074562
385	0.2710636888
386	0.2709966834
387	0.2709734406
388	0.2709186003
389	0.2708515093
390	0.2707756985
391	0.270719883
392	0.2706536356
393	0.2705994405
394	0.2705495821
395	0.2705289529
396	0.2704595456
397	0.2703647814
398	0.270329901
399	0.2702808894
400	0.270240257
401	0.2701698307
402	0.2701245977
403	0.2700927471
404	0.2700561143
405	0.2700120255
406	0.2699322768
407	0.2698487383
408	0.269786003
409	0.2697186859
410	0.2696533062
411	0.2695996265
412	0.2695399984
413	0.2694825083
414	0.269429842
415	0.2693547254
416	0.2692567834
417	0.2691874446
418	0.2691280683
419	0.2690946026
420	0.2690268349
421	0.2689789066
422	0.2689534153
423	0.2689085177
424	0.2688703381
425	0.2688018928
426	0.2687627915
427	0.2687056125
428	0.2686643105
429	0.2685825943
430	0.2685021404
431	0.2684584587
432	0.2684173598
433	0.2683487085
434	0.2683087071
435	0.2682655829
436	0.2682293802
437	0.26821316
438	0.2681617125
439	0.268084707
440	0.2680164392
441	0.2679410027
442	0.2678948529
443	0.2678590285
444	0.2678007194
445	0.2677604008
446	0.2677208578
447	0.2676700629
448	0.2676127704
449	0.2675359278
450	0.2674940699
451	0.2674579967
452	0.2674008463
453	0.2673776472
454	0.2673683811
455	0.2672940811
456	0.2672313832
457	0.2671960166
458	0.2671288314
459	0.2670894962
460	0.2670490138
461	0.2670030524
462	0.266901975
463	0.2668540581
464	0.2668014655
465	0.2667733068
466	0.2667384854
467	0.2666953009
468	0.2666413307
469	0.266578706
470	0.2665332378
471	0.2664753182
472	0.2664392757
473	0.2664267305
474	0.2663756083
475	0.2663286975
476	0.2663021015
477	0.2662269688
478	0.2661970754
479	0.2661703831
480	0.2661162115
481	0.2660720666
482	0.2660340248
483	0.2660254856
484	0.2659438359
485	0.2659176436
486	0.2658642706
487	0.2658160938
488	0.2657745969
489	0.2657178024
490	0.2657065603
491	0.265667405
492	0.2656123201
493	0.2655492755
494	0.2655272471
495	0.2655124031
496	0.2654988198
497	0.2654424552
498	0.2653806361
499	0.2653376837
500	0.2652842674
501	0.265203954
502	0.2651457165
503	0.265115761
504	0.265039829
505	0.2650041272
506	0.2649579224
507	0.2648525419
508	0.2648031056
509	0.2647687486
510	0.2647348971
511	0.2646896384
512	0.2646425932
513	0.2646050792
514	0.2645784469
515	0.2645381561
516	0.2644896048
517	0.2644273533
518	0.264381877
519	0.2643310487
520	0.2643004404
521	0.2642582085
522	0.2642289464
523	0.2642010363
524	0.2641692428
525	0.2641073966
526	0.2640640156
527	0.2640427995
528	0.2640042043
529	0.263958545
530	0.2638702333
531	0.2638512787
532	0.2637962708
533	0.2637444251
534	0.2637184975
535	0.2636795797
536	0.2636278629
537	0.2635915951
538	0.2635129876
539	0.2634850289
540	0.2634407565
541	0.2634191593
542	0.2633292683
543	0.2632927213
544	0.2632560692
545	0.263232322
546	0.2631621445
547	0.2631181514
548	0.2630808256
549	0.2630584753
550	0.2630443369
551	0.2629955507
552	0.2629817863
553	0.2629653162
554	0.2629066511
555	0.2628517275
556	0.262814753
557	0.2627324765
558	0.2626850142
559	0.2626628884
560	0.2626186098
561	0.2625698494
562	0.2625319834
563	0.2625072101
564	0.2624981462
565	0.2624364026
566	0.2623693927
567	0.2623187241
568	0.2622606312
569	0.2622218659
570	0.2621614671
571	0.2621150101
572	0.2620684223
573	0.2620291773
574	0.2619813813
575	0.2619357365
576	0.2618817155
577	0.2618061821
578	0.2617570082
579	0.261729263
580	0.261696576
581	0.2616650607
582	0.2615905318
583	0.2615561473
584	0.2615207985
585	0.261500993
586	0.2614515889
587	0.2614243298
588	0.2613910678
589	0.2613528825
590	0.2612960732
591	0.261234724
592	0.2612171471
593	0.2611794828
594	0.2611245956
595	0.2610663228
596	0.2610266285
597	0.2609790024
598	0.260916954
599	0.260887054
600	0.2608180998
601	0.2607434611
602	0.260702384
603	0.260688856
604	0.2606617916
605	0.2606311596
606	0.2605813706
607	0.2605433836
608	0.2605196318
609	0.2604609628
610	0.2604315551
611	0.2603985924
612	0.2603847797
613	0.2603473486
614	0.2603267319
615	0.2602823853
616	0.2602695764
617	0.2602304824
618	0.2601894412
619	0.2601339386
620	0.2600919813
621	0.2600792202
622	0.2600451532
623	0.2600246999
624	0.2599827365
625	0.2599601205
626	0.2599027393
627	0.2598558048
628	0.2597909265
629	0.2597466816
630	0.2596960333
631	0.2596693217
632	0.2596378914
633	0.2596039839
634	0.2595725996
635	0.2595616693
636	0.2595543549
637	0.2595075425
638	0.2594709091
639	0.2594070078
640	0.2593829573
641	0.2593387675
642	0.2592618464
643	0.2592324026
644	0.2591821833
645	0.2591492966
646	0.2590997952
647	0.2590717457
648	0.2590405197
649	0.2590290114
650	0.2589571579
651	0.2589172616
652	0.258883417
653	0.2588381901
654	0.258806276
655	0.258770463
656	0.2587260242
657	0.2587152822
658	0.2586609649
659	0.2586160086
660	0.2585640425
661	0.2585146662
662	0.2584826658
663	0.2584284385
664	0.2583751629
665	0.2583502794
666	0.2583229684
667	0.2582906769
668	0.2582643262
669	0.2582157399
670	0.2581778274
671	0.2581452294
672	0.2581404157
673	0.258111743
674	0.2580699768
675	0.2580321553
676	0.2579937779
677	0.2579481637
678	0.2579075693
679	0.2578563907
680	0.2578455179
681	0.2578168976
682	0.2577839672
683	0.257757857
684	0.2577283501
685	0.2576819015
686	0.2576220781
687	0.2575773649
688	0.2575416161
689	0.2575070538
690	0.2574541289
691	0.2574125112
692	0.257374339
693	0.2573679285
694	0.2573287861
695	0.2573185493
696	0.257296147
697	0.2572622496
698	0.2572523275
699	0.2572311549
700	0.2571995515
701	0.2571657997
702	0.2571253867
703	0.2570718874
704	0.2570464856
705	0.2569983246
706	0.2569887802
707	0.2569326486
708	0.2569170389
709	0.2568887804
710	0.2568819144
711	0.2568482814
712	0.2567495956
713	0.2567453351
714	0.2567158904
715	0.2566850864
716	0.2566629558
717	0.2566448183
718	0.256620235
719	0.256578054
720	0.2565614159
721	0.256518643
722	0.256487464
723	0.2564834792
724	0.2564493452
725	0.256425221
726	0.2563891707
727	0.2563685406
728	0.256343548
729	0.2563216653
730	0.2563154944
731	0.2562857639
732	0.2562809436
733	0.2562731265
734	0.2562228404
735	0.2561759107
736	0.2561565084
737	0.256109242
738	0.2560421274
739	0.2560160527
740	0.2559836385
741	0.2559544397
742	0.2559327221
743	0.2559054285
744	0.255867588
745	0.2558460373
746	0.255808491
747	0.2557903265
748	0.2557638144
749	0.2557372238
750	0.2556905647
751	0.2556388515
752	0.255596999
753	0.2555758129
754	0.2555425862
755	0.2555159039
756	0.2554742881
757	0.2554598251
758	0.2554119827
759	0.2553770327
760	0.2553306731
761	0.2552914142
762	0.2552620306
763	0.2552252077
764	0.2552039597
765	0.2551769313
766	0.2551355887
767	0.2551060632
768	0.2550868916
769	0.2550550574
770	0.2550309666
771	0.2549924038
772	0.2549715757
773	0.2549319247
774	0.2548970739
775	0.2548497644
776	0.2548088109
777	0.2547804892
778	0.2547520595
779	0.2547240429
780	0.2546962689
781	0.2546691737
782	0.254638291
783	0.2546257591
784	0.2545960172
785	0.2545637303
786	0.2545194613
787	0.254491796
788	0.2544612713
789	0.2544230477
790	0.2543984634
791	0.2543678351
792	0.2543283518
793	0.2542802751
794	0.2542401336
795	0.2542301269
796	0.2541710696
797	0.2541282829
798	0.2541018813
799	0.2540606245
800	0.2540332067
801	0.2540079459
802	0.2539698561
803	0.2539350927
804	0.2539130011
805	0.2538861965
806	0.2538518965
807	0.2537956205
808	0.2537720547
809	0.2537306061
810	0.2537083314
811	0.2536876463
812	0.2536579822
813	0.2536290593
814	0.253593839
815	0.2535549168
816	0.253539919
817	0.2535176779
818	0.2534795888
819	0.2534482865
820	0.2534088822
821	0.2533737078
822	0.2533311347
823	0.2533150903
824	0.2532871947
825	0.2532552192
826	0.2532335887
827	0.2532130916
828	0.2531884552
829	0.2531763182
830	0.2531544548
831	0.2531233921
832	0.2530960094
833	0.2530847795
834	0.253065032
835	0.2530227682
836	0.2529565321
837	0.2529181373
838	0.2528950097
839	0.2528489047
840	0.2528132305
841	0.25276943
842	0.2527303593
843	0.2526929764
844	0.2526813708
845	0.2526346331
846	0.2525891938
847	0.252565485
848	0.252517373
849	0.2524901706
850	0.2524621246
851	0.2524149736
852	0.2523959178
853	0.2523872921
854	0.2523413404
855	0.2523130966
856	0.2522572533
857	0.2522250187
858	0.2521867172
859	0.2521479587
860	0.2520986376
861	0.2520443592
862	0.2520275152
863	0.2519880759
864	0.2519780631
865	0.2519468186
866	0.2518913392
867	0.2518566623
868	0.251820647
869	0.2517907035
870	0.2517729339
871	0.2517489864
872	0.2517115567
873	0.2516966022
874	0.2516755888
875	0.2516336377
876	0.2516087301
877	0.2516025863
878	0.2515753811
879	0.2515305357
880	0.2515183236
881	0.2514782518
882	0.2514260179
883	0.251401406
884	0.2513677106
885	0.2513415743
886	0.25133227
887	0.2513051643
888	0.2512720814
889	0.2512487592
890	0.2512332873
891	0.2512011108
892	0.2511704092
893	0.2511447554
894	0.2511421522
895	0.2511206957
896	0.2511124536
897	0.2510803151
898	0.2510281406
899	0.2509879254
900	0.2509681322
901	0.2509413761
902	0.2509060889
903	0.2508927668
904	0.2508607057
905	0.2508354853
906	0.250790504
907	0.2507670201
908	0.2506988325
909	0.2506803565
910	0.2506598897
911	0.2506386862
912	0.2506191173
913	0.2505894193
914	0.2505338943
915	0.250504514
916	0.2504857922
917	0.2504502793
918	0.2504366992
919	0.2504021907
920	0.250382717
921	0.2503437727
922	0.2503028148
923	0.2502804065
924	0.2502540624
925	0.2502318463
926	0.2502099546
927	0.250179451
928	0.2501533877
929	0.2501347998
930	0.2501122517
931	0.2500812903
932	0.2500555477
933	0.2500201649
934	0.2499979996
935	0.2499585208
936	0.2499315827
937	0.2498867406
938	0.2498435411
939	0.2498049766
940	0.2497810195
941	0.2497636477
942	0.2497359641
943	0.2497252553
944	0.2496959596
945	0.2496639715
946	0.2496343858
947	0.2496068621
948	0.2495658411
949	0.2495312408
950	0.2495071084
951	0.2494971415
952	0.2494609024
953	0.2494287987
954	0.2493931452
955	0.2493569404
956	0.2493382519
957	0.2492979556
958	0.2492631047
959	0.2492408099
960	0.24920686
961	0.2491928953
962	0.2491774469
963	0.2491425426
964	0.2490955919
965	0.249065601
966	0.2490407702
967	0.2490190541
968	0.2489805578
969	0.2489436248
970	0.2489199476
971	0.2489035645
972	0.2488832398
973	0.2488582988
974	0.2488433858
975	0.2488099619
976	0.2487800826
977	0.2487646218
978	0.2487338573
979	0.2487088444
980	0.2487014785
981	0.2486603146
982	0.2486102152
983	0.2485704159
984	0.2485402548
985	0.2485088115
986	0.2484731067
987	0.2484475022
988	0.2484081682
989	0.2483791172
990	0.2483553973
991	0.2483203249
992	0.2482950781
993	0.2482818986
994	0.2482510579
995	0.2482319047
996	0.2482002494
997	0.2481849849
998	0.2481528687
999	0.2481189024
